What is Microsoft 365 Defender?	Unified extended detection and response across M365 workloads.
What problem does Microsoft 365 Defender solve?	It addresses security needs related to microsoft 365 defender.
How is Microsoft 365 Defender used in security operations?	It supports operational workflows that involve microsoft 365 defender functions.
What is Defender for Endpoint?	Endpoint detection and response platform.
What problem does Defender for Endpoint solve?	It addresses security needs related to defender for endpoint.
How is Defender for Endpoint used in security operations?	It supports operational workflows that involve defender for endpoint functions.
What is Defender for Identity?	Identity threat detection for Active Directory.
What problem does Defender for Identity solve?	It addresses security needs related to defender for identity.
How is Defender for Identity used in security operations?	It supports operational workflows that involve defender for identity functions.
What is Defender for Office 365?	Email and collaboration threat protection.
What problem does Defender for Office 365 solve?	It addresses security needs related to defender for office 365.
How is Defender for Office 365 used in security operations?	It supports operational workflows that involve defender for office 365 functions.
What is Defender for Cloud Apps?	CASB for monitoring SaaS activity.
What problem does Defender for Cloud Apps solve?	It addresses security needs related to defender for cloud apps.
How is Defender for Cloud Apps used in security operations?	It supports operational workflows that involve defender for cloud apps functions.
What is Advanced Hunting?	KQL-based hunting across Defender telemetry.
What problem does Advanced Hunting solve?	It addresses security needs related to advanced hunting.
How is Advanced Hunting used in security operations?	It supports operational workflows that involve advanced hunting functions.
What is ASR Rules?	Controls blocking unsafe behaviors.
What problem does ASR Rules solve?	It addresses security needs related to asr rules.
How is ASR Rules used in security operations?	It supports operational workflows that involve asr rules functions.
